query_key,query_index,query_sequence,question,native_query,label,positive,page2_gain,cross_query_duplicate_ratio,exclusive_candidate_ratio,invalid_url_count,latency_seconds,marginal_unique_candidate_count,max_jaccard,mean_jaccard,organic_count,original_need_more_search_score,page_fill_ratio,query_lexical_max,query_lexical_mean,query_lexical_rank_slope,query_lexical_tail3,query_lexical_top1,query_lexical_top3,query_lexical_top3_minus_tail3,question_duplicate_ratio,question_lexical_max,question_lexical_mean,question_lexical_rank_slope,question_lexical_tail3,question_lexical_top1,question_lexical_top3,question_lexical_top3_minus_tail3,question_native_query_count,question_unique_candidate_count,sequential_marginal_unique_candidate_count,snippet_available_ratio,tail5_exclusive_candidate_count,tail5_valid_candidate_count,text_tail3_observed_count,text_top3_observed_count,valid_candidate_count,valid_candidate_occurrence_count,within_query_duplicate_ratio
Q00/s01,0,1,Give me papers which show that using a smaller dataset in large language model pre-training can result in better models than using bigger datasets.,Papers on the effectiveness of smaller datasets in language model pre-training,negative,False,0,0.9,0.1,0,7.804297808557749,1,0.5384615384615384,0.3037330316742081,10,0.3981334841628959,1.0,0.2054894889921129,0.1162442716592489,-0.018361349131033006,0.06529923682462571,0.1554479445115522,0.18835563552042064,0.12305639869579493,0.43999999999999995,0.14910337151523897,0.0979167910119504,-0.009419207995427484,0.0770229121285424,0.1084074020741388,0.1306183995392047,0.05359548741066231,5,28,10,1.0,1,5,3,3,10,10,0.0
Q00/s02,0,2,Give me papers which show that using a smaller dataset in large language model pre-training can result in better models than using bigger datasets.,Advantages of using smaller datasets in large language model pre-training,negative,False,0,0.9,0.1,0,7.841410372406244,1,0.5384615384615384,0.3245663650075415,10,0.38771681749622927,1.0,0.19538805291386133,0.09467919239206593,-0.0077924878790512206,0.08693685151919439,0.12087283601503193,0.11819964542913822,0.031262793909943826,0.43999999999999995,0.13966989497855345,0.08384985467916438,-0.0035205050391902124,0.0746946553238966,0.0809887689931512,0.08602910930317355,0.011334453979276946,5,28,3,1.0,1,5,3,3,10,10,0.0
Q00/s03,0,3,Give me papers which show that using a smaller dataset in large language model pre-training can result in better models than using bigger datasets.,Benefits of limited dataset in pre-training of language models,negative,False,0,0.5,0.5,0,8.596967168152332,5,0.25,0.18055555555555555,10,0.6597222222222222,1.0,0.15683740240511423,0.08319506319618211,0.0009805850021970311,0.10390909208353809,0.05949540292298677,0.10215482499701367,-0.0017542670865244164,0.43999999999999995,0.14123023335529786,0.08117121218751142,0.001318805813853978,0.10162849949203479,0.03742866393781598,0.08123774701893216,-0.020390752473102625,5,28,5,1.0,4,5,3,3,10,10,0.0
Q00/s04,0,4,Give me papers which show that using a smaller dataset in large language model pre-training can result in better models than using bigger datasets.,Survey papers on large language model pre-training using smaller dataset,negative,False,0,0.6,0.4,0,10.03382808715105,4,0.3333333333333333,0.2013888888888889,10,0.5993055555555555,1.0,0.2801717352679577,0.15571057605043453,-0.010493802442670718,0.1311468774111247,0.2801717352679577,0.19412498798201078,0.06297811057088606,0.43999999999999995,0.15978992073261478,0.11297043281154066,-0.007486565111000403,0.08527512890879146,0.15745056275152275,0.13346637964424868,0.048191250735457214,5,28,5,1.0,1,5,3,3,10,10,0.0
Q00/s05,0,5,Give me papers which show that using a smaller dataset in large language model pre-training can result in better models than using bigger datasets.,Effects of dataset size on language model pre-training effectiveness,negative,False,0,0.5,0.5,0,2.46731024608016,5,0.17647058823529413,0.1437908496732026,10,0.6781045751633987,1.0,0.2920155437875537,0.17587522721246832,0.007758922084763343,0.18842006547309204,0.12396708514838148,0.16913883723097564,-0.019281228242116394,0.43999999999999995,0.2455255685885884,0.11456488504168182,0.004284796395014258,0.1333268307844441,0.06783957021198385,0.1053056224215587,-0.028021208362885394,5,28,5,1.0,3,5,3,3,10,10,0.0
Q01/s01,1,1,Give me papers that share some insights about how large language models gain in-context learning capability in the process of pre-training.,Survey papers on in-context learning in pre-trained language models,negative,False,0,0.4,0.6,0,3.275605246424675,6,0.25,0.13293343653250775,10,0.7335332817337461,1.0,0.36779766268404607,0.2578259815089164,0.006118426167222478,0.2791832944844333,0.17026070488875802,0.2487227304969766,-0.030460563987456696,0.45999999999999996,0.2170279612728539,0.11441251060770277,-0.0031820374940039063,0.0986087120619481,0.08211710611015942,0.14233518062120132,0.04372646855925322,5,27,10,1.0,2,5,3,3,10,10,0.0
Q01/s02,1,2,Give me papers that share some insights about how large language models gain in-context learning capability in the process of pre-training.,In-context learning in pre-training of large language models,negative,False,0,0.6,0.4,0,2.97861060872674,4,0.3333333333333333,0.20310887512899897,10,0.5984455624355005,1.0,0.4321262040522529,0.30094718513456015,-0.011761408838299722,0.24705216827656856,0.4321262040522529,0.3418012719293588,0.09474910365279021,0.45999999999999996,0.2170279612728539,0.14493849308118273,-0.004049078035492697,0.1334746472437957,0.18193848262293819,0.1752189447935657,0.04174429754976999,5,27,9,1.0,4,5,3,3,10,10,0.0
Q01/s03,1,3,Give me papers that share some insights about how large language models gain in-context learning capability in the process of pre-training.,Pre-training methods for in-context learning in language models,negative,False,0,0.9,0.1,0,2.499065987765789,1,0.42857142857142855,0.26613408521303256,10,0.41693295739348374,1.0,0.5775398128845245,0.30740598791881685,-0.012692402338104498,0.31461653145101726,0.5775398128845245,0.3927220630974684,0.07810553164645112,0.45999999999999996,0.25746570902257776,0.14507179696743538,-0.002914693209574855,0.15730397933085374,0.25746570902257776,0.17507444884049236,0.01777046950963862,5,27,4,1.0,1,5,3,3,10,10,0.0
Q01/s04,1,4,Give me papers that share some insights about how large language models gain in-context learning capability in the process of pre-training.,Insights into the process of pre-training for in-context learning in language models,positive,True,2,0.8,0.2,0,3.113226540386677,2,0.42857142857142855,0.2762605042016807,10,0.4618697478991597,1.0,0.42466603888054943,0.2271087789652646,-0.011642285327767296,0.1924065322993209,0.18578432284562774,0.31904810366199166,0.12664157136267076,0.45999999999999996,0.25746570902257776,0.1569565391068842,-0.011968452678178839,0.11361001123974308,0.2170279612728539,0.22822887027866148,0.1146188590389184,5,27,3,1.0,2,5,3,3,10,10,0.0
Q01/s05,1,5,Give me papers that share some insights about how large language models gain in-context learning capability in the process of pre-training.,Role of pre-training in the development of in-context learning in language models,positive,True,2,0.9,0.1,0,3.654494985938072,1,0.42857142857142855,0.3209033613445378,10,0.3895483193277311,1.0,0.31509715085611967,0.20864162408847312,-0.016479401390274595,0.13920851871831788,0.3001091226555794,0.2505053992719727,0.1112968805536548,0.45999999999999996,0.1941297140668121,0.1305990503641768,-0.006678873802280772,0.08748899743403836,0.18193848262293819,0.13196553589870158,0.04447653846466322,5,27,1,1.0,1,5,3,3,10,10,0.0
